15:59;entry;Телефонный справочник
15:59;entry;Добавить новую запись
15:59;entry;Напишите фамилию, имя, телефон, почту и комментарий в одну строку
15:59;entry;Зинин Данила
15:59;entry;Телефонный справочник
16:00;entry;Калькулятор
16:00;entry;Калькулятор
16:00;entry;Рациональные
16:01;entry;Калькулятор
16:01;entry;Калькулятор
16:01;entry;Рациональные
16:02;entry;Погода в Екатеринбурге
16:02;entry;Телефонный справочник
16:02;entry;Импорт данных
16:02;entry;Телефонный справочник
16:02;entry;Посмотреть записи
16:02;entry;Калькулятор
16:03;entry;Рациональные
16:03;entry;7/2 + 6/6
16:03;entry;Калькулятор
16:03;entry;Калькулятор
16:03;entry;Рациональные
16:04;entry;7/1 + 3/8
16:04;entry;Калькулятор
16:04;entry;Комплексные
16:04;entry;6+7j + 2-2j
16:04;entry;Калькулятор
16:04;entry;Рациональные
